'Cajo9yKje71,'2784249162257788661,'Tue Mar  1 15:01:20 2022,'57,'2,"[{'id': '45951273', 'username': 'celine7ee', 'full_name': 'Celine Lee', 'is_verified': False, 'profile_pic_url': 'https://scontent-ams4-1.cdninstagram.com/v/t51.2885-19/27878627_149570752392775_6441114363062386688_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=107&_nc_ohc=sKaNDrDp4MsAX9F6-Dd&edm=APU89FABAAAA&ccb=7-4&oh=00_AT8BZsaD7KhvbILvf99ar7Ae_U8MJYThwQmLKGBhDPb_eg&oe=6251C5F2&_nc_sid=86f79a'}, {'id': '53191746', 'username': 'miguellorenzouy', 'full_name': '', 'is_verified': False, 'profile_pic_url': 'https://scontent-ams4-1.cdninstagram.com/v/t51.2885-19/144496067_1311509935878982_675739425805686639_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=110&_nc_ohc=e1OLfCNiUbIAX9_03SR&edm=APU89FABAAAA&ccb=7-4&oh=00_AT_T9uc5_cDd79UWVom1Dh0d6HQfcCxrSxA1i45kXjaMbQ&oe=62509043&_nc_sid=86f79a'}]"
'CZyez5dja2I,'2770412228574031240,'Thu Feb 10 12:47:04 2022,'27,'1,"[]"
'CY_Qa04p9Bf,'2755993709209702495,'Fri Jan 21 15:15:12 2022,'42,'0,"[]"
'CYinc6dpUir,'2747932233383102635,'Mon Jan 10 12:19:08 2022,'73,'1,"[{'id': '2296163523', 'username': 'tinawartph', 'full_name': 'Tin-aw Art Management', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/204828243_360059608803942_4386783325980748248_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=106&_nc_ohc=qTy_AOftbRMAX_KCdaW&tn=yYKB2kGtvtEabpJk&edm=APU89FABAAAA&ccb=7-4&oh=00_AT8dK58MpBVogY1eY_kons55VyXOC258nm9jC--O-CO8Ug&oe=62518A63&_nc_sid=86f79a'}, {'id': '347230741', 'username': 'henriellebp', 'full_name': 'Henrielle Baltazar Pagkaliwangan', 'is_verified': False, 'profile_pic_url': 'https://scontent-ams4-1.cdninstagram.com/v/t51.2885-19/272281486_259772829606511_1640057005891210387_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=107&_nc_ohc=yMvc1uj0qmcAX_PGcBM&edm=APU89FABAAAA&ccb=7-4&oh=00_AT9_kD4Uhj6itTQ1LpAriIrhgU5CYZDHFJND8jSypWwB1w&oe=62511B64&_nc_sid=86f79a'}]"
'CYgBXDqpxJH,'2747201755227296327,'Sun Jan  9 12:08:25 2022,'15,'0,"[{'id': '498056066', 'username': 'silverlensgalleries', 'full_name': 'Silverlens Galleries', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/135054680_1582437208609982_128772118084611125_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=102&_nc_ohc=OS8gi7hrU38AX9Qakrv&edm=APU89FABAAAA&ccb=7-4&oh=00_AT8UgcGPXk_QeIGGEVc5KKXdEqK6E93AQMrqNP9MYdIYbA&oe=625245F5&_nc_sid=86f79a'}, {'id': '6122637071', 'username': 'norbertosroldan', 'full_name': 'Norberto Roldan', 'is_verified': False, 'profile_pic_url': 'https://scontent-ams4-1.cdninstagram.com/v/t51.2885-19/22069951_897689643740575_797924401549934592_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=107&_nc_ohc=h2ArhaUI6XkAX-8aUMt&edm=APU89FABAAAA&ccb=7-4&oh=00_AT8GJrVyn1tSJvgPb3kpiWPYvwWKc2nYHC_4NG2H4WSJPQ&oe=6250AEFC&_nc_sid=86f79a'}]"
'CXfpgCDDa-b,'2729082420338732955,'Wed Dec 15 12:16:54 2021,'52,'0,"[{'id': '498056066', 'username': 'silverlensgalleries', 'full_name': 'Silverlens Galleries', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/135054680_1582437208609982_128772118084611125_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=102&_nc_ohc=OS8gi7hrU38AX9Qakrv&edm=APU89FABAAAA&ccb=7-4&oh=00_AT8UgcGPXk_QeIGGEVc5KKXdEqK6E93AQMrqNP9MYdIYbA&oe=625245F5&_nc_sid=86f79a'}, {'id': '2296163523', 'username': 'tinawartph', 'full_name': 'Tin-aw Art Management', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/204828243_360059608803942_4386783325980748248_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=106&_nc_ohc=qTy_AOftbRMAX_KCdaW&tn=yYKB2kGtvtEabpJk&edm=APU89FABAAAA&ccb=7-4&oh=00_AT8dK58MpBVogY1eY_kons55VyXOC258nm9jC--O-CO8Ug&oe=62518A63&_nc_sid=86f79a'}, {'id': '6122637071', 'username': 'norbertosroldan', 'full_name': 'Norberto Roldan', 'is_verified': False, 'profile_pic_url': 'https://scontent-ams4-1.cdninstagram.com/v/t51.2885-19/22069951_897689643740575_797924401549934592_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=107&_nc_ohc=h2ArhaUI6XkAX-8aUMt&edm=APU89FABAAAA&ccb=7-4&oh=00_AT8GJrVyn1tSJvgPb3kpiWPYvwWKc2nYHC_4NG2H4WSJPQ&oe=6250AEFC&_nc_sid=86f79a'}, {'id': '347230741', 'username': 'henriellebp', 'full_name': 'Henrielle Baltazar Pagkaliwangan', 'is_verified': False, 'profile_pic_url': 'https://scontent-ams4-1.cdninstagram.com/v/t51.2885-19/272281486_259772829606511_1640057005891210387_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=107&_nc_ohc=yMvc1uj0qmcAX_PGcBM&edm=APU89FABAAAA&ccb=7-4&oh=00_AT9_kD4Uhj6itTQ1LpAriIrhgU5CYZDHFJND8jSypWwB1w&oe=62511B64&_nc_sid=86f79a'}]"
'CXGQ0dtjlPG,'2721936998851826630,'Sun Dec  5 15:34:42 2021,'28,'1,"[{'id': '1541624843', 'username': 'pamquinto', 'full_name': 'Pam Quinto', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/274142664_1832927143578431_5073227894688021860_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=eqsCgCRZ6gQAX8FfnUg&edm=APU89FABAAAA&ccb=7-4&oh=00_AT8HY3I9sNTTmTA-PcZFViNmdgXp0lDpIhmI3p2fG1xvfw&oe=62511F71&_nc_sid=86f79a'}]"
'Ca_cxkRgcn0,'2792076845498092020,'Sat Mar 12 10:07:33 2022,'3,'0,"[{'id': '8483243318', 'username': 'xsartfest', 'full_name': 'Xavier Art Fest Online Apr2-10', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/116721034_306159703837061_122028601458410677_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=1rRxhDbmm4QAX_un7y_&edm=APU89FABAAAA&ccb=7-4&oh=00_AT_ckL80cq0NY2HlccI9u337foMouAurutL_5q47Z1OUsA&oe=62551B25&_nc_sid=86f79a'}, {'id': '39460341800', 'username': 'galerie_artes', 'full_name': 'Galerie Artes', 'is_verified': False, 'profile_pic_url': 'https://scontent-ams4-1.cdninstagram.com/v/t51.2885-19/233812105_422217715761948_2305677897182676848_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=100&_nc_ohc=-Gi_HD1jYK4AX8hrpy9&edm=APU89FABAAAA&ccb=7-4&oh=00_AT_WS43g7ssjD9r5l5G_Y3QF1tHDAZKpLFTrT6SqVmQnow&oe=6254CCFE&_nc_sid=86f79a'}, {'id': '2150868967', 'username': 'cowheadsoldier', 'full_name': 'Jude Rodriguez', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/246791480_243513110982105_744616394337344141_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=sUp3pAjriMgAX8Ad32W&edm=APU89FABAAAA&ccb=7-4&oh=00_AT-zDGdhUF0lfFlmM3UD-n67buRDymqlF3_UaKHfwuDNDQ&oe=625526F5&_nc_sid=86f79a'}]"
'Ca_cxkRgcn0,'2792076845498092020,'Sat Mar 12 10:07:33 2022,'3,'0,"[{'id': '8483243318', 'username': 'xsartfest', 'full_name': 'Xavier Art Fest Online Apr2-10', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/116721034_306159703837061_122028601458410677_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=1rRxhDbmm4QAX8AxcrP&edm=APU89FABAAAA&ccb=7-4&oh=00_AT9FpTzfvueas48D-RWPrc1Abk-XJKzhHQ2TFE67x2kNjg&oe=62551B25&_nc_sid=86f79a'}, {'id': '39460341800', 'username': 'galerie_artes', 'full_name': 'Galerie Artes', 'is_verified': False, 'profile_pic_url': 'https://scontent-ams4-1.cdninstagram.com/v/t51.2885-19/233812105_422217715761948_2305677897182676848_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=100&_nc_ohc=-Gi_HD1jYK4AX9XlN2j&edm=APU89FABAAAA&ccb=7-4&oh=00_AT8YU4Kp_ZJfYQaqSX-VG9XgFpnyDV9fmeUomUzMdZ5X2A&oe=6254CCFE&_nc_sid=86f79a'}, {'id': '2150868967', 'username': 'cowheadsoldier', 'full_name': 'Jude Rodriguez', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/246791480_243513110982105_744616394337344141_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=sUp3pAjriMgAX9r4Nc1&edm=APU89FABAAAA&ccb=7-4&oh=00_AT84aegp5BzT-6qKSsDdoQVXcp5vtFq3nYswMypRaZUGUg&oe=625526F5&_nc_sid=86f79a'}]"
'Ca_cxkRgcn0,'2792076845498092020,'Sat Mar 12 10:07:33 2022,'3,'0,"[{'id': '8483243318', 'username': 'xsartfest', 'full_name': 'Xavier Art Fest Online Apr2-10', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/116721034_306159703837061_122028601458410677_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=1rRxhDbmm4QAX_un7y_&edm=APU89FABAAAA&ccb=7-4&oh=00_AT_ckL80cq0NY2HlccI9u337foMouAurutL_5q47Z1OUsA&oe=62551B25&_nc_sid=86f79a'}, {'id': '39460341800', 'username': 'galerie_artes', 'full_name': 'Galerie Artes', 'is_verified': False, 'profile_pic_url': 'https://scontent-ams4-1.cdninstagram.com/v/t51.2885-19/233812105_422217715761948_2305677897182676848_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=100&_nc_ohc=-Gi_HD1jYK4AX8hrpy9&edm=APU89FABAAAA&ccb=7-4&oh=00_AT_WS43g7ssjD9r5l5G_Y3QF1tHDAZKpLFTrT6SqVmQnow&oe=6254CCFE&_nc_sid=86f79a'}, {'id': '2150868967', 'username': 'cowheadsoldier', 'full_name': 'Jude Rodriguez', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/246791480_243513110982105_744616394337344141_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=sUp3pAjriMgAX8Ad32W&edm=APU89FABAAAA&ccb=7-4&oh=00_AT-zDGdhUF0lfFlmM3UD-n67buRDymqlF3_UaKHfwuDNDQ&oe=625526F5&_nc_sid=86f79a'}]"
'Ca_cxkRgcn0,'2792076845498092020,'Sat Mar 12 10:07:33 2022,'3,'0,"[{'id': '8483243318', 'username': 'xsartfest', 'full_name': 'Xavier Art Fest Online Apr2-10', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/116721034_306159703837061_122028601458410677_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=1rRxhDbmm4QAX8AxcrP&edm=APU89FABAAAA&ccb=7-4&oh=00_AT9FpTzfvueas48D-RWPrc1Abk-XJKzhHQ2TFE67x2kNjg&oe=62551B25&_nc_sid=86f79a'}, {'id': '39460341800', 'username': 'galerie_artes', 'full_name': 'Galerie Artes', 'is_verified': False, 'profile_pic_url': 'https://scontent-ams4-1.cdninstagram.com/v/t51.2885-19/233812105_422217715761948_2305677897182676848_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=100&_nc_ohc=-Gi_HD1jYK4AX9XlN2j&edm=APU89FABAAAA&ccb=7-4&oh=00_AT8YU4Kp_ZJfYQaqSX-VG9XgFpnyDV9fmeUomUzMdZ5X2A&oe=6254CCFE&_nc_sid=86f79a'}, {'id': '2150868967', 'username': 'cowheadsoldier', 'full_name': 'Jude Rodriguez', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/246791480_243513110982105_744616394337344141_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=sUp3pAjriMgAX9r4Nc1&edm=APU89FABAAAA&ccb=7-4&oh=00_AT84aegp5BzT-6qKSsDdoQVXcp5vtFq3nYswMypRaZUGUg&oe=625526F5&_nc_sid=86f79a'}]"
'Ca_cxkRgcn0,'2792076845498092020,'Sat Mar 12 10:07:33 2022,'3,'0,"[{'id': '8483243318', 'username': 'xsartfest', 'full_name': 'Xavier Art Fest Online Apr2-10', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/116721034_306159703837061_122028601458410677_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=1rRxhDbmm4QAX8AxcrP&edm=APU89FABAAAA&ccb=7-4&oh=00_AT9FpTzfvueas48D-RWPrc1Abk-XJKzhHQ2TFE67x2kNjg&oe=62551B25&_nc_sid=86f79a'}, {'id': '39460341800', 'username': 'galerie_artes', 'full_name': 'Galerie Artes', 'is_verified': False, 'profile_pic_url': 'https://scontent-ams4-1.cdninstagram.com/v/t51.2885-19/233812105_422217715761948_2305677897182676848_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=100&_nc_ohc=-Gi_HD1jYK4AX9XlN2j&edm=APU89FABAAAA&ccb=7-4&oh=00_AT8YU4Kp_ZJfYQaqSX-VG9XgFpnyDV9fmeUomUzMdZ5X2A&oe=6254CCFE&_nc_sid=86f79a'}, {'id': '2150868967', 'username': 'cowheadsoldier', 'full_name': 'Jude Rodriguez', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/246791480_243513110982105_744616394337344141_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=sUp3pAjriMgAX9r4Nc1&edm=APU89FABAAAA&ccb=7-4&oh=00_AT84aegp5BzT-6qKSsDdoQVXcp5vtFq3nYswMypRaZUGUg&oe=625526F5&_nc_sid=86f79a'}]"
'Ca_cxkRgcn0,'2792076845498092020,'Sat Mar 12 10:07:33 2022,'3,'0,"[{'id': '8483243318', 'username': 'xsartfest', 'full_name': 'Xavier Art Fest Online Apr2-10', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/116721034_306159703837061_122028601458410677_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=1rRxhDbmm4QAX_-RygQ&edm=APU89FABAAAA&ccb=7-4&oh=00_AT9FNga0zlj0_wPjP727biW1zUMFx1NLMG3wqaul1iDBHA&oe=62551B25&_nc_sid=86f79a'}, {'id': '39460341800', 'username': 'galerie_artes', 'full_name': 'Galerie Artes', 'is_verified': False, 'profile_pic_url': 'https://scontent-ams4-1.cdninstagram.com/v/t51.2885-19/233812105_422217715761948_2305677897182676848_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=100&_nc_ohc=-Gi_HD1jYK4AX8jWSo-&edm=APU89FABAAAA&ccb=7-4&oh=00_AT_dSgVMOavKOrXpO1XY_3kPfJR1reXdSWeVRyxbvqgvAA&oe=6254CCFE&_nc_sid=86f79a'}, {'id': '2150868967', 'username': 'cowheadsoldier', 'full_name': 'Jude Rodriguez', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/246791480_243513110982105_744616394337344141_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=sUp3pAjriMgAX_NaNeK&edm=APU89FABAAAA&ccb=7-4&oh=00_AT-SH2nOv0wi6ZEOMs-IGK6u4M4MvNM1ga_Md2jlqtZSJw&oe=625526F5&_nc_sid=86f79a'}]"
'Ca_cxkRgcn0,'2792076845498092020,'Sat Mar 12 10:07:33 2022,'3,'0,"[{'id': '8483243318', 'username': 'xsartfest', 'full_name': 'Xavier Art Fest Online Apr2-10', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/116721034_306159703837061_122028601458410677_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=1rRxhDbmm4QAX8T8Vks&edm=APU89FABAAAA&ccb=7-4&oh=00_AT8DdbVAv6akG9UWO2sLG4BVL4uWuL7fRx1spP8XTGDnRQ&oe=62551B25&_nc_sid=86f79a'}, {'id': '39460341800', 'username': 'galerie_artes', 'full_name': 'Galerie Artes', 'is_verified': False, 'profile_pic_url': 'https://scontent-ams4-1.cdninstagram.com/v/t51.2885-19/233812105_422217715761948_2305677897182676848_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=100&_nc_ohc=-Gi_HD1jYK4AX86avxo&edm=APU89FABAAAA&ccb=7-4&oh=00_AT8xbnOfuqyoiHWLHhSneX6joVwQLEGB4uPbIyKGBX7G-g&oe=6254CCFE&_nc_sid=86f79a'}, {'id': '2150868967', 'username': 'cowheadsoldier', 'full_name': 'Jude Rodriguez', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/246791480_243513110982105_744616394337344141_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=sUp3pAjriMgAX9FRgB6&edm=APU89FABAAAA&ccb=7-4&oh=00_AT8gUvPtJpKjtAcASxnMdWLAFFHdYs2J82sSmyGJnbccvw&oe=625526F5&_nc_sid=86f79a'}]"
'CUujTa7Bz4c,'2679234094537588252,'Thu Oct  7 17:27:50 2021,'10,'3,"[]"
'CUui2IKBLMr,'2679232081523159851,'Thu Oct  7 17:23:09 2021,'7,'0,"[]"
'Ca_cxkRgcn0,'2792076845498092020,'Sat Mar 12 10:07:33 2022,'3,'0,"[{'id': '8483243318', 'username': 'xsartfest', 'full_name': 'Xavier Art Fest Online Apr2-10', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/116721034_306159703837061_122028601458410677_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=1rRxhDbmm4QAX_-RygQ&edm=APU89FABAAAA&ccb=7-4&oh=00_AT9FNga0zlj0_wPjP727biW1zUMFx1NLMG3wqaul1iDBHA&oe=62551B25&_nc_sid=86f79a'}, {'id': '39460341800', 'username': 'galerie_artes', 'full_name': 'Galerie Artes', 'is_verified': False, 'profile_pic_url': 'https://scontent-ams4-1.cdninstagram.com/v/t51.2885-19/233812105_422217715761948_2305677897182676848_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=100&_nc_ohc=-Gi_HD1jYK4AX8jWSo-&edm=APU89FABAAAA&ccb=7-4&oh=00_AT_dSgVMOavKOrXpO1XY_3kPfJR1reXdSWeVRyxbvqgvAA&oe=6254CCFE&_nc_sid=86f79a'}, {'id': '2150868967', 'username': 'cowheadsoldier', 'full_name': 'Jude Rodriguez', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/246791480_243513110982105_744616394337344141_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=sUp3pAjriMgAX_NaNeK&edm=APU89FABAAAA&ccb=7-4&oh=00_AT-SH2nOv0wi6ZEOMs-IGK6u4M4MvNM1ga_Md2jlqtZSJw&oe=625526F5&_nc_sid=86f79a'}]"
'CUujTa7Bz4c,'2679234094537588252,'Thu Oct  7 17:27:50 2021,'10,'3,"[]"
'CUui2IKBLMr,'2679232081523159851,'Thu Oct  7 17:23:09 2021,'7,'0,"[]"
'Ca_cxkRgcn0,'2792076845498092020,'Sat Mar 12 10:07:33 2022,'3,'0,"[{'id': '8483243318', 'username': 'xsartfest', 'full_name': 'Xavier Art Fest Online Apr2-10', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/116721034_306159703837061_122028601458410677_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=1rRxhDbmm4QAX_ugLN9&edm=APU89FABAAAA&ccb=7-4&oh=00_AT_2eS4iT2Am37nsCquy5SoIw-EgeJ-oYvCzp7F1tpwtzA&oe=62551B25&_nc_sid=86f79a'}, {'id': '39460341800', 'username': 'galerie_artes', 'full_name': 'Galerie Artes', 'is_verified': False, 'profile_pic_url': 'https://scontent-ams4-1.cdninstagram.com/v/t51.2885-19/233812105_422217715761948_2305677897182676848_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=100&_nc_ohc=-Gi_HD1jYK4AX_GPLk5&edm=APU89FABAAAA&ccb=7-4&oh=00_AT_61VuWKGal7tRkKkHjUg_eCmTzYTSH1IdarbZ4qrckuQ&oe=6254CCFE&_nc_sid=86f79a'}, {'id': '2150868967', 'username': 'cowheadsoldier', 'full_name': 'Jude Rodriguez', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/246791480_243513110982105_744616394337344141_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=sUp3pAjriMgAX_od-KT&edm=APU89FABAAAA&ccb=7-4&oh=00_AT-YGg2azRmjWngm-jFyltKKROyZUyNEKTrMPF4J8g-LXQ&oe=625526F5&_nc_sid=86f79a'}]"
'CUujTa7Bz4c,'2679234094537588252,'Thu Oct  7 17:27:50 2021,'10,'3,"[]"
'CUui2IKBLMr,'2679232081523159851,'Thu Oct  7 17:23:09 2021,'7,'0,"[]"
'Ca_cxkRgcn0,'2792076845498092020,'Sat Mar 12 10:07:33 2022,'3,'0,"[{'id': '8483243318', 'username': 'xsartfest', 'full_name': 'Xavier Art Fest Online Apr2-10', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/116721034_306159703837061_122028601458410677_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=1rRxhDbmm4QAX9l9-Vl&edm=APU89FABAAAA&ccb=7-4&oh=00_AT_8ZEHbXZWI28VXXNNVfhBXIHSGMoKDqkittBerTKKq1w&oe=62551B25&_nc_sid=86f79a'}, {'id': '39460341800', 'username': 'galerie_artes', 'full_name': 'Galerie Artes', 'is_verified': False, 'profile_pic_url': 'https://scontent-ams4-1.cdninstagram.com/v/t51.2885-19/233812105_422217715761948_2305677897182676848_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-ams4-1.cdninstagram.com&_nc_cat=100&_nc_ohc=-Gi_HD1jYK4AX9_jNx1&edm=APU89FABAAAA&ccb=7-4&oh=00_AT9_6EnPFNTToFgZuVpCKgpXAJOqF9Ht5ZU9k8JZf8l8AA&oe=6254CCFE&_nc_sid=86f79a'}, {'id': '2150868967', 'username': 'cowheadsoldier', 'full_name': 'Jude Rodriguez', 'is_verified': False, 'profile_pic_url': 'https://scontent-amt2-1.cdninstagram.com/v/t51.2885-19/246791480_243513110982105_744616394337344141_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-amt2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=sUp3pAjriMgAX_9GBTO&edm=APU89FABAAAA&ccb=7-4&oh=00_AT-YAuTVz62Hk6nchfwGGzKTf2nWld__n4P5BUrOd2uAuw&oe=625526F5&_nc_sid=86f79a'}]"
'CUujTa7Bz4c,'2679234094537588252,'Thu Oct  7 17:27:50 2021,'10,'3,"[]"
'CUui2IKBLMr,'2679232081523159851,'Thu Oct  7 17:23:09 2021,'7,'0,"[]"
